idPostalCode;idLocalWarehouse
20-001;1
20-002;1
20-003;1
20-004;1
20-005;1
20-006;1
20-007;1
20-008;1
20-009;1
20-010;1
20-011;1
20-012;1
20-013;1
20-014;1
20-015;1
20-016;1
20-017;1
20-018;1
20-019;1
20-020;1
20-021;1
20-022;1
20-023;1
20-024;1
20-025;1
20-026;1
20-027;1
20-028;1
20-029;1
20-030;1
20-031;1
20-032;1
20-033;1
20-034;1
20-035;1
20-036;1
20-037;1
20-038;1
20-039;1
20-040;1
20-041;1
20-042;1
20-043;1
20-044;1
20-045;1
20-046;1
20-047;1
20-048;1
20-049;1
20-050;1
20-051;1
20-052;1
20-053;1
20-054;1
20-055;1
20-056;1
20-057;1
20-058;1
20-059;1
20-060;1
20-061;1
20-064;1
20-066;1
20-067;1
20-068;1
20-069;1
20-070;1
20-071;1
20-072;1
20-073;1
20-074;1
20-075;1
20-076;1
20-077;1
20-078;1
20-079;1
20-080;1
20-081;1
20-082;1
20-083;1
20-084;1
20-085;1
20-086;1
20-087;1
20-088;1
20-089;1
20-090;1
20-092;1
20-093;1
20-094;1
20-095;1
20-097;1
20-100;1
20-101;1
20-102;1
20-103;1
20-104;1
20-105;1
20-106;1
20-107;1
20-108;1
20-109;1
20-110;1
20-111;1
20-112;1
20-113;1
20-114;1
20-115;1
20-116;1
20-117;1
20-118;1
20-119;1
20-120;1
20-121;1
20-122;1
20-123;1
20-124;1
20-125;1
20-126;1
20-127;1
20-128;1
20-129;1
20-130;1
20-132;1
20-133;1
20-134;1
20-135;1
20-136;1
20-137;1
20-138;1
20-139;1
20-140;1
20-141;1
20-142;1
20-143;1
20-144;1
20-145;1
20-146;1
20-147;1
20-148;1
20-149;1
20-150;1
20-151;1
20-152;1
20-153;1
20-154;1
20-155;1
20-160;1
20-201;1
20-202;1
20-203;1
20-204;1
20-205;1
20-207;1
20-208;1
20-209;1
20-210;1
20-211;1
20-212;1
20-213;1
20-214;1
20-215;1
20-216;1
20-217;1
20-218;1
20-219;1
20-220;1
20-221;1
20-222;1
20-223;1
20-224;1
20-225;1
20-226;1
20-227;1
20-228;1
20-229;1
20-230;1
20-231;1
20-232;1
20-233;1
20-234;1
20-235;1
20-240;1
20-241;1
20-243;1
20-244;1
20-245;1
20-246;1
20-247;1
20-248;1
20-249;1
20-250;1
20-251;1
20-252;1
20-253;1
20-254;1
20-255;1
20-256;1
20-257;1
20-258;1
20-259;1
20-260;1
20-262;1
20-270;1
20-278;1
20-279;1
20-280;1
20-281;1
20-282;1
20-283;1
20-290;1
20-301;1
20-302;1
20-303;1
20-304;1
20-305;1
20-306;1
20-307;1
20-309;1
20-310;1
20-311;1
20-313;1
20-314;1
20-315;1
20-316;1
20-317;1
20-318;1
20-319;1
20-320;1
20-321;1
20-322;1
20-323;1
20-324;1
20-325;1
20-326;1
20-327;1
20-328;1
20-329;1
20-330;1
20-331;1
20-333;1
20-334;1
20-335;1
20-336;1
20-337;1
20-338;1
20-340;1
20-341;1
20-342;1
20-343;1
20-344;1
20-346;1
20-347;1
20-348;1
20-349;1
20-350;1
20-351;1
20-352;1
20-353;1
20-354;1
20-355;1
20-356;1
20-357;1
20-358;1
20-359;1
20-360;1
20-361;1
20-362;1
20-363;1
20-364;1
20-365;1
20-366;1
20-367;1
20-368;1
20-369;1
20-370;1
20-371;1
20-372;1
20-373;1
20-374;1
20-375;1
20-376;1
20-377;1
20-378;1
20-379;1
20-380;1
20-381;1
20-382;1
20-383;1
20-384;1
20-385;1
20-386;1
20-387;1
20-388;1
20-390;1
20-391;1
